gender,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn
Female,0,13,49.91,648.8299999999999,0
Male,0,64,55.92,3578.88,0
Male,0,1,91.77,91.77,0
Male,0,63,81.13,5111.19,0
Male,0,34,37.85,1286.9,0
Female,0,10,57.61,576.1,1
Female,1,7,66.78,467.46,0
Male,1,56,61.94,3468.64,0
Male,1,37,37.83,1399.71,0
Female,0,29,112.44,3260.76,1
Female,0,12,96.23,1154.76,0
Male,0,17,68.14,1158.38,0
Male,0,48,88.01,4224.4800000000005,1
Male,0,26,109.73,2852.98,0
Female,1,12,33.62,403.44,0
Female,1,21,45.04,945.84,1
Female,0,42,74.27,3119.34,1
Male,0,61,99.9,6093.900000000001,0
Male,0,58,23.63,1370.54,1
Female,1,54,118.4,6393.6,0
Female,1,34,65.49,2226.66,1
Male,0,7,55.92,391.44,0
Female,0,35,49.27,1724.45,0
Female,1,15,37.44,561.5999999999999,0
Male,0,65,99.16,6445.4,0
Female,0,25,115.54,2888.5,0
Male,1,59,61.36,3620.24,0
Male,0,6,115.24,691.4399999999999,1
Male,0,52,102.38,5323.76,0
Male,0,21,68.11,1430.31,0
Male,0,71,87.4,6205.400000000001,0
Male,1,32,63.5,2032.0,0
Male,0,53,75.87,4021.11,0
Female,1,59,25.8,1522.2,0
Male,0,69,89.63,6184.469999999999,1
Male,0,62,25.28,1567.36,1
Female,0,4,101.71,406.84,0
Female,0,18,102.49,1844.82,0
Female,0,56,43.71,2447.76,1
Male,0,24,52.37,1256.88,0
Female,0,66,68.13,4496.58,0
Male,0,13,79.67,1035.71,1
Male,0,62,48.74,3021.88,0
Male,0,54,79.25,4279.5,1
Male,0,15,49.78,746.7,1
Female,0,69,25.55,1762.95,1
Female,0,3,20.25,60.75,0
Male,0,37,30.12,1114.44,1
Male,0,37,99.23,3671.51,0
Male,0,3,116.14,348.42,0
Female,1,63,62.7,3950.1,0
Male,0,35,71.27,2494.45,1
Male,0,52,34.68,1803.36,0
Female,0,28,75.1,2102.8,1
Female,0,18,34.47,620.46,0
Male,0,36,81.12,2920.32,0
Female,0,33,113.33,3739.89,1
Female,0,64,39.57,2532.48,0
Male,1,26,96.46,2507.96,1
Female,0,48,22.35,1072.8000000000002,1
Male,0,40,57.55,2302.0,0
Female,0,17,31.07,528.19,0
Male,0,40,55.25,2210.0,1
Male,0,7,37.35,261.45,1
Male,0,57,57.33,3267.81,1
Female,0,8,61.75,494.0,0
Male,1,56,50.06,2803.36,0
Female,0,31,85.66,2655.46,1
Male,1,59,111.89,6601.51,1
Male,0,58,60.06,3483.48,0
Female,0,12,39.23,470.76,0
Male,0,48,47.07,2259.36,0
Male,1,31,105.4,3267.4,0
Female,0,63,77.16,4861.08,1
Male,0,39,65.5,2554.5,0
Male,0,20,34.96,699.2,0
Male,0,48,64.97,3118.56,0
Male,0,71,47.85,3397.35,1
Female,0,54,114.32,6173.28,0
Female,0,71,108.41,7697.11,0
Male,0,29,28.39,823.3100000000001,0
Female,0,48,71.67,3440.16,0
Male,0,56,42.51,2380.56,0
Female,0,17,61.08,1038.36,0
Male,1,9,107.68,969.12,0
Male,0,34,72.75,2473.5,0
Male,0,45,53.42,2403.9,1
Male,0,9,40.79,367.11,0
Male,0,7,100.03,700.21,0
Male,0,16,82.45,1319.2,0
Female,1,19,66.81,1269.39,0
Male,0,6,41.75,250.5,0
Female,0,11,53.42,587.62,0
Male,0,61,115.98,7074.780000000001,1
Female,0,42,72.01,3024.42,0
Female,0,13,60.07,780.91,1
Female,1,12,72.14,865.6800000000001,0
Male,0,20,97.9,1958.0,1
Male,0,50,54.01,2700.5,1
Female,0,36,37.87,1363.32,0
Male,0,69,78.49,5415.81,0
Female,0,37,86.52,3201.24,0
Male,0,12,91.27,1095.24,1
Female,0,40,108.2,4328.0,0
Female,0,54,57.12,3084.48,0
Male,0,2,27.54,55.08,0
Female,1,50,115.83,5791.5,0
Male,0,41,63.5,2603.5,0
Female,0,45,82.33,3704.85,1
Female,0,9,86.63,779.67,1
Male,0,62,74.65,4628.3,0
Male,0,47,40.53,1904.91,0
Male,0,5,95.51,477.55,0
Female,0,1,100.38,100.38,0
Male,0,44,75.3,3313.2,0
Female,0,22,68.86,1514.92,0
Female,0,38,31.39,1192.82,1
Male,1,19,28.4,539.6,0
Male,0,31,53.96,1672.76,0
Female,0,67,51.08,3422.36,0
Female,0,42,115.37,4845.54,0
Male,0,26,98.36,2557.36,0
Male,0,13,85.99,1117.87,0
Male,1,58,71.76,4162.08,0
Male,1,18,36.74,661.32,0
Male,0,67,117.85,7895.95,0
Female,1,3,57.5,172.5,1
Female,1,55,30.69,1687.95,0
Female,1,58,69.38,4024.04,1
Female,1,63,107.4,6766.200000000001,0
Male,0,52,108.73,5653.96,0
Male,0,24,21.1,506.4,0
Male,0,9,108.63,977.67,1
Female,0,37,47.15,1744.55,0
Female,1,53,23.9,1266.6999999999998,0
Male,0,24,104.78,2514.7200000000003,1
Male,0,21,106.39,2234.19,0
Female,1,40,79.62,3184.8,0
Female,1,62,77.44,4801.28,0
Male,1,70,101.31,7091.7,0
Male,0,69,98.63,6805.469999999999,0
Female,0,14,109.01,1526.14,0
Male,0,42,75.27,3161.34,1
Male,0,50,116.76,5838.0,1
Male,0,61,119.61,7296.21,0
Female,0,4,31.65,126.6,0
Female,0,17,104.95,1784.15,1
Female,0,57,69.98,3988.86,1
Female,0,48,58.76,2820.48,0
Female,0,44,81.31,3577.6400000000003,0
Female,0,45,25.6,1152.0,1
Female,0,33,70.65,2331.4500000000003,0
Male,0,31,107.09,3319.79,1
Male,0,47,41.35,1943.45,0
Male,0,6,62.64,375.84,0
Male,0,71,113.95,8090.45,0
Male,1,34,62.86,2137.24,0
Male,0,53,55.84,2959.52,0
Male,0,14,64.05,896.6999999999999,1
Female,0,16,71.95,1151.2,1
Female,1,43,83.2,3577.6,0
Male,0,12,100.07,1200.84,0
Male,0,70,65.21,4564.7,0
Female,1,19,101.75,1933.25,0
Male,0,41,73.37,3008.17,0
Male,0,53,53.85,2854.05,1
Female,0,29,85.8,2488.2,0
Male,0,70,91.77,6423.9,0
Female,0,59,75.8,4472.2,0
Male,0,64,25.66,1642.24,0
Female,1,24,36.99,887.76,0
Female,1,16,48.53,776.48,0
Female,0,52,48.26,2509.52,0
Male,0,6,87.34,524.04,0
Female,0,37,21.83,807.7099999999999,0
Male,1,4,95.57,382.28,0
Male,1,38,46.53,1768.14,0
Male,0,41,51.0,2091.0,0
Male,1,14,72.79,1019.06,0
Female,0,71,41.59,2952.8900000000003,0
Female,0,51,108.45,5530.95,0
Male,0,65,28.54,1855.1,1
Male,0,52,64.44,3350.88,0
Female,0,30,104.94,3148.2,0
Male,0,57,81.58,4650.06,1
Female,0,30,49.23,1476.9,0
Male,1,42,62.08,2607.36,0
Male,0,11,90.67,997.37,0
Female,0,27,117.33,3167.91,0
Male,0,24,109.31,2623.44,0
Female,0,39,54.24,2115.36,1
Male,0,18,119.82,2156.76,0
Male,0,45,20.35,915.75,1
Male,0,12,22.76,273.12,1
Female,0,49,102.38,5016.62,0
Male,0,31,39.95,1238.45,0
Male,0,22,26.08,573.76,0
Male,0,44,43.71,1923.24,0
Male,0,64,62.61,4007.04,0
Female,0,25,93.06,2326.5,0
Female,1,51,82.43,4203.93,0
Male,0,7,43.76,306.32,1
Female,0,6,70.33,421.98,1
Male,0,24,112.62,2702.88,0
Male,0,19,101.5,1928.5,1
Male,0,9,52.32,470.88,0
Female,1,36,118.23,4256.28,0
Female,1,40,90.86,3634.4,1
Female,1,24,26.24,629.76,0
Female,0,48,23.52,1128.96,1
Female,0,63,36.84,2320.92,0
Female,0,69,92.79,6402.51,0
Female,0,53,38.37,2033.61,0
Female,0,54,71.15,3842.1,1
Female,0,42,29.33,1231.86,0
Male,1,45,112.09,5044.05,1
Female,0,14,54.4,761.6,0
Female,0,29,110.81,3213.49,0
Female,0,6,114.49,686.9399999999999,0
Female,0,7,20.61,144.26999999999998,0
Female,0,37,66.41,2457.17,0
Female,0,53,22.47,1190.91,1
Female,0,18,110.87,1995.66,0
Female,0,38,71.84,2729.92,0
Female,1,59,27.49,1621.91,1
Female,1,1,31.03,31.03,0
Female,0,68,58.35,3967.8,0
Male,0,44,114.02,5016.88,0
Male,1,47,89.29,4196.63,0
Female,1,35,106.76,3736.6,0
Female,0,60,56.65,3399.0,0
Male,0,52,24.32,1264.64,0
Female,0,8,117.43,939.44,0
Male,1,41,21.72,890.52,0
Male,1,3,114.77,344.31,0
Male,0,69,56.87,3924.03,0
Male,1,14,21.01,294.14000000000004,0
Male,0,26,88.92,2311.92,0
Female,1,70,118.05,8263.5,0
Male,0,58,116.56,6760.4800000000005,0
Female,1,40,36.09,1443.6,0
Female,0,51,38.12,1944.12,1
Male,0,5,76.55,382.75,0
Male,0,32,83.73,2679.36,0
Female,1,1,93.94,93.94,0
Male,1,54,38.11,2057.94,0
Male,1,11,115.9,1274.9,1
Female,1,53,83.87,4445.110000000001,0
Female,0,8,104.7,837.6,0
Male,0,25,74.01,1850.25,0
Female,0,40,61.43,2457.2,0
Male,0,32,117.72,3767.04,1
Male,0,28,78.21,2189.88,0
Male,0,3,106.69,320.07,1
Female,0,62,115.33,7150.46,0
Female,0,27,87.54,2363.5800000000004,0
Female,0,45,74.89,3370.05,0
Female,0,25,20.35,508.75000000000006,0
Female,1,61,24.0,1464.0,0
Male,0,44,40.09,1763.96,0
Male,1,46,38.6,1775.6,0
Male,0,14,45.48,636.7199999999999,0
Male,0,8,50.49,403.92,0
Female,0,48,56.01,2688.48,0
Male,0,14,62.05,868.6999999999999,0
Female,0,65,29.89,1942.85,1
Male,0,7,24.24,169.67999999999998,0
Female,0,49,87.39,4282.11,0
Female,0,55,73.73,4055.15,0
Male,0,13,64.41,837.3299999999999,0
Male,0,56,83.44,4672.639999999999,0
Male,0,56,102.77,5755.12,0
Male,0,15,62.77,941.55,0
Female,1,57,84.11,4794.27,0
Male,0,58,115.36,6690.88,0
Male,0,35,103.96,3638.6,1
Female,1,16,62.6,1001.6,0
Male,0,8,84.47,675.76,0
Male,0,45,37.71,1696.95,0
Male,0,40,76.05,3042.0,1
Male,0,54,118.13,6379.02,1
Male,0,14,71.83,1005.62,0
Female,1,59,112.76,6652.84,1
Male,0,53,60.73,3218.69,0
Male,0,27,119.88,3236.76,0
Male,0,47,77.92,3662.24,0
Male,0,6,24.23,145.38,1
Male,0,55,78.68,4327.400000000001,0
Female,0,44,47.46,2088.24,0
Male,0,18,23.25,418.5,0
Female,0,16,102.09,1633.44,0
Female,0,12,47.57,570.84,0
Male,0,20,99.65,1993.0,1
Male,1,45,48.82,2196.9,0
Male,0,64,39.43,2523.52,0
Male,0,59,117.39,6926.01,0
Female,0,22,56.16,1235.52,0
Male,0,47,80.14,3766.58,0
Male,0,29,81.0,2349.0,1
Male,0,45,76.05,3422.25,0
Male,0,9,111.47,1003.23,0
Male,1,24,87.44,2098.56,0
Male,0,15,60.37,905.55,0
Female,0,36,106.24,3824.64,0
Female,1,13,38.11,495.43,0
Male,1,44,74.42,3274.48,0
Male,1,71,115.06,8169.26,1
Male,0,36,82.54,2971.44,0
Female,0,61,101.7,6203.7,0
Male,0,40,85.36,3414.4,0
Female,0,27,103.94,2806.38,1
Male,0,1,114.45,114.45,0
Male,0,34,47.29,1607.86,0
Male,1,68,36.97,2513.96,0
Male,0,21,68.4,1436.4,0
Female,1,33,90.19,2976.27,0
Female,0,7,42.72,299.04,0
Male,0,65,20.41,1326.65,0
Male,0,3,54.29,162.87,0
Female,0,51,116.89,5961.39,1
Female,0,54,89.5,4833.0,0
Female,0,59,60.13,3547.67,1
Female,1,6,39.26,235.56,0
Male,0,29,55.61,1612.69,0
Female,0,17,36.98,628.66,1
Male,0,60,30.63,1837.8,0
Female,0,22,110.67,2434.74,0
Female,0,24,119.77,2874.48,0
Female,0,51,36.41,1856.91,1
Female,0,50,25.45,1272.5,0
Female,0,11,52.97,582.67,0
Male,0,56,66.17,3705.52,1
Male,0,71,40.48,2874.08,1
Female,0,42,50.14,2105.88,0
Female,0,39,40.09,1563.5100000000002,1
Male,0,69,97.43,6722.67,1
Female,0,48,91.26,4380.4800000000005,0
Female,0,57,83.5,4759.5,0
Male,1,21,58.72,1233.12,1
Female,0,20,110.9,2218.0,0
Female,1,15,116.95,1754.25,0
Male,1,69,37.36,2577.84,1
Male,0,51,42.3,2157.3,0
Male,0,62,72.56,4498.72,1
Female,0,37,29.13,1077.81,1
Male,0,6,63.64,381.84,0
Male,0,71,78.18,5550.780000000001,1
Male,0,26,72.21,1877.46,1
Male,0,8,53.09,424.72,0
Male,1,4,74.24,296.96,0
Male,0,21,115.88,2433.48,0
Female,0,31,40.6,1258.6,0
Female,0,21,85.48,1795.0800000000002,0
Male,0,25,24.34,608.5,0
Male,0,15,26.64,399.6,0
Male,1,35,75.18,2631.3,0
Female,0,49,30.49,1494.01,0
Female,0,43,22.23,955.89,1
Female,0,41,37.15,1523.15,0
Female,1,37,76.48,2829.76,0
Female,0,57,90.33,5148.81,0
Female,0,42,40.25,1690.5,0
Female,0,47,86.83,4081.01,0
Female,0,61,38.25,2333.25,0
Female,0,14,81.35,1138.9,0
Male,0,68,61.2,4161.6,0
Male,0,53,85.38,4525.139999999999,0
Male,0,34,119.51,4063.34,0
Male,1,24,113.78,2730.7200000000003,0
Female,0,20,20.43,408.6,0
Female,0,69,108.54,7489.26,1
Male,0,30,26.65,799.5,0
Female,0,7,115.3,807.1,0
Male,1,36,48.18,1734.48,0
Female,0,38,58.2,2211.6,0
Male,0,52,29.16,1516.32,0
Female,0,15,31.23,468.45,1
Female,0,46,92.67,4262.82,0
Male,0,23,114.43,2631.8900000000003,0
Female,0,12,81.07,972.84,0
Male,0,44,91.59,4029.96,0
Male,1,15,96.2,1443.0,0
Male,0,49,46.28,2267.7200000000003,0
Male,0,21,24.52,514.92,0
Female,1,15,20.19,302.85,0
Female,0,14,55.06,770.84,1
Female,0,42,44.15,1854.3,0
Male,0,15,26.23,393.45,0
Female,0,63,37.95,2390.8500000000004,0
Male,0,68,32.45,2206.6000000000004,1
Female,0,27,111.49,3010.23,0
Female,1,53,34.03,1803.59,0
Female,0,52,73.76,3835.52,0
Male,0,63,79.31,4996.53,0
Female,0,53,74.35,3940.55,0
Female,0,57,29.91,1704.87,0
Male,0,52,51.88,2697.76,0
Female,0,43,25.13,1080.59,0
Male,1,7,59.57,416.99,0
Female,0,42,38.86,1632.12,0
Male,0,4,76.16,304.64,1
Male,0,69,89.28,6160.32,0
Female,0,5,73.21,366.05,0
Male,0,41,63.42,2600.2200000000003,0
Male,0,4,58.73,234.92,1
Male,0,2,104.17,208.34,1
Male,0,67,41.94,2809.98,0
Male,0,21,93.42,1961.82,0
Male,0,70,95.75,6702.5,0
Female,0,43,61.92,2662.56,0
Male,1,69,49.73,3431.37,0
Male,0,9,67.05,603.4499999999999,0
Female,0,28,29.32,820.96,0
Female,0,26,24.59,639.34,1
Female,0,3,31.16,93.48,1
Female,0,49,38.71,1896.79,1
Female,0,17,70.42,1197.14,0
Female,0,63,104.91,6609.33,1
Female,1,55,43.56,2395.8,1
Male,0,23,113.52,2610.96,0
Male,0,34,115.49,3926.66,1
Female,0,69,115.89,7996.41,0
Male,1,15,103.76,1556.4,0
Male,0,47,56.38,2649.86,0
Male,0,3,27.27,81.81,1
Female,0,28,76.88,2152.64,1
Female,0,3,75.87,227.61,0
Male,0,4,105.0,420.0,0
Female,1,31,119.6,3707.6,0
Male,0,45,70.82,3186.9,0
Male,1,59,54.52,3216.6800000000003,0
Male,0,45,38.59,1736.5500000000002,0
Male,0,37,20.48,757.76,0
Female,0,65,70.91,4609.15,0
Female,0,9,75.55,679.9499999999999,0
Female,1,17,102.49,1742.33,0
Male,1,65,70.46,4579.9,1
Female,1,3,111.65,334.95000000000005,0
Male,0,26,82.81,2153.06,0
Female,0,53,104.03,5513.59,0
Male,0,31,34.83,1079.73,0
Male,1,26,105.53,2743.78,0
Male,0,23,87.51,2012.73,0
Female,0,30,37.02,1110.6,1
Female,0,10,38.98,389.8,1
Female,0,64,112.65,7209.6,0
Female,1,22,23.22,510.84,0
Male,0,15,66.25,993.75,0
Female,0,56,51.35,2875.6,0
Female,0,20,86.51,1730.2,1
Male,0,47,103.96,4886.12,1
Male,0,53,56.04,2970.12,0
Male,0,53,62.69,3322.57,0
Female,1,1,118.19,118.19,0
Male,1,2,98.39,196.78,0
Male,0,58,109.72,6363.76,0
Male,0,19,63.88,1213.72,1
Female,1,62,43.41,2691.42,0
Male,0,12,61.19,734.28,0
Female,0,26,91.61,2381.86,0
Female,0,27,30.94,835.38,0
Male,0,29,47.05,1364.4499999999998,1
Male,0,15,24.66,369.9,1
Female,1,46,63.23,2908.58,0
Male,0,1,102.74,102.74,0
Male,0,60,22.47,1348.1999999999998,0
Female,0,57,87.53,4989.21,1
Female,0,3,113.25,339.75,0
Male,0,18,43.69,786.42,0
Female,0,52,89.36,4646.72,1
Male,0,60,117.51,7050.6,1
Male,0,34,116.23,3951.82,0
Male,1,60,43.49,2609.4,0
Female,1,26,30.03,780.78,0
Male,0,19,34.83,661.77,1
Male,0,22,90.2,1984.4,1
Male,0,33,92.58,3055.14,0
Female,0,38,87.42,3321.96,0
Female,0,35,53.61,1876.35,1
Female,0,67,36.98,2477.66,0
Female,0,10,78.08,780.8,1
Female,1,15,68.37,1025.5500000000002,1
Male,1,11,92.88,1021.68,1
Female,1,24,64.14,1539.36,1
Female,0,4,53.86,215.44,0
Female,0,13,49.35,641.5500000000001,0
Male,0,57,41.15,2345.55,0
Female,0,37,46.57,1723.09,1
Female,0,48,29.48,1415.04,1
Male,0,71,54.69,3882.99,0
Female,0,1,23.66,23.66,0
Male,1,60,38.64,2318.4,0
Male,0,12,94.68,1136.16,0
Male,0,21,52.55,1103.55,0
Male,0,11,86.82,955.02,1
Male,0,44,91.69,4034.36,0
Female,0,58,78.12,4530.96,0
Male,0,44,115.87,5098.280000000001,0
Male,0,34,22.14,752.76,0
Female,0,25,93.87,2346.75,0
Male,0,4,115.88,463.52,1
Female,0,64,106.23,6798.72,0
Female,0,16,36.79,588.64,1
Female,1,10,52.68,526.8,0
Male,0,66,37.25,2458.5,0
Male,0,35,80.13,2804.55,0
Male,0,6,91.22,547.3199999999999,0
Female,1,19,51.71,982.49,0
Male,1,59,73.95,4363.05,1
Male,0,53,89.09,4721.77,0
Male,0,8,62.13,497.04,1
Female,1,10,105.4,1054.0,0
Female,0,67,97.15,6509.05,0
Male,0,38,26.47,1005.86,1
Male,0,29,82.11,2381.19,1
Male,1,15,43.53,652.95,0
Male,1,23,75.75,1742.25,0
Female,0,46,115.69,5321.74,0
Female,0,28,107.91,3021.48,1
Female,0,26,60.45,1571.7,0
Female,0,10,49.15,491.5,0
Male,1,47,43.44,2041.68,1
Male,0,4,73.25,293.0,0
Male,0,55,31.42,1728.1,0
Female,0,66,74.93,4945.38,0
Male,0,67,20.13,1348.71,0
Female,0,7,52.38,366.66,0
Female,0,55,41.99,2309.4500000000003,0
Male,0,31,117.12,3630.72,1
Male,0,19,92.72,1761.68,0
Male,0,28,54.97,1539.16,1
Female,0,28,29.28,819.84,0
Male,0,19,71.68,1361.92,0
Female,1,20,41.34,826.8000000000001,1
Male,1,13,73.64,957.32,1
Female,1,43,103.54,4452.22,0
Female,0,11,81.58,897.38,0
Male,1,48,83.38,4002.24,0
Female,0,15,74.1,1111.5,0
Female,0,17,112.73,1916.41,0
Male,0,54,113.19,6112.26,0
Female,0,50,71.27,3563.5,0
Male,0,28,50.58,1416.24,0
Female,0,4,65.96,263.84,0
Male,0,22,38.66,850.52,0
Male,0,39,83.63,3261.57,1
Female,0,34,70.01,2380.34,0
Female,0,44,30.33,1334.52,0
Female,0,42,39.76,1669.9199999999998,1
Female,1,40,67.96,2718.4,0
Female,1,12,108.76,1305.12,0
Male,0,2,76.64,153.28,1
Female,0,28,88.15,2468.2000000000003,1
Male,0,67,53.9,3611.3,0
Male,1,71,77.14,5476.94,0
Female,0,10,64.74,647.4,1
Male,0,57,85.91,4896.87,1
Male,0,37,25.06,927.22,0
Male,0,64,69.33,4437.12,0
Male,0,40,49.6,1984.0,1
Female,1,60,52.62,3157.2,1
Male,0,48,116.09,5572.32,0
Female,0,19,38.27,727.1300000000001,0
Female,1,33,51.12,1686.9599999999998,0
Male,1,44,70.99,3123.56,0
Female,0,37,106.3,3933.1,0
Female,0,36,61.67,2220.12,0
Female,0,21,94.39,1982.19,0
Male,1,2,105.64,211.28,0
Female,0,31,51.0,1581.0,1
Female,1,30,59.28,1778.4,0
Female,0,44,55.66,2449.04,0
Male,0,12,103.29,1239.48,0
Female,0,51,24.43,1245.93,0
Male,0,49,50.84,2491.1600000000003,0
Male,0,24,87.94,2110.56,0
Male,0,24,76.54,1836.96,0
Male,0,60,63.63,3817.8,0
Male,1,11,73.99,813.89,0
Male,0,13,39.76,516.88,0
Female,0,64,63.07,4036.48,0
Male,0,20,70.17,1403.4,1
Female,0,71,110.12,7818.52,1
Female,0,28,46.08,1290.24,0
Male,0,2,106.78,213.56,0
Female,1,43,84.42,3630.06,0
Female,0,8,22.03,176.24,1
Female,0,13,92.46,1201.98,0
Female,0,35,23.56,824.5999999999999,1
Male,0,23,119.74,2754.02,0
Female,0,46,107.26,4933.96,1
Male,1,15,49.73,745.9499999999999,1
Female,1,2,45.74,91.48,1
Female,0,61,58.14,3546.54,0
Male,0,64,55.62,3559.68,0
Female,0,52,57.23,2975.96,1
Female,0,36,51.83,1865.88,0
Female,0,67,82.11,5501.37,1
Male,0,69,36.43,2513.67,0
Female,0,67,104.6,7008.2,0
Male,0,47,101.24,4758.28,0
Female,0,2,67.65,135.3,0
Male,0,44,105.27,4631.88,0
Male,0,64,44.71,2861.44,0
Female,0,28,21.76,609.2800000000001,0
Female,1,54,81.92,4423.68,0
Male,0,67,65.79,4407.93,1
Male,0,36,76.72,2761.92,0
Female,0,63,109.93,6925.59,0
Male,1,25,116.99,2924.75,0
Female,0,48,83.45,4005.6,0
Female,0,39,96.41,3759.99,0
Female,0,47,28.38,1333.86,1
Female,0,21,36.07,757.47,1
Male,1,30,93.32,2799.6,0
Female,0,31,63.14,1957.34,0
Male,1,26,64.6,1679.6,0
Female,1,22,50.86,1118.92,0
Male,1,21,80.74,1695.54,0
Female,0,1,38.52,38.52,1
Male,0,37,82.69,3059.53,0
Male,0,46,37.38,1719.48,0
Female,0,9,26.38,237.42,1
Female,0,17,53.04,901.68,0
Female,0,47,43.11,2026.17,1
Female,0,59,108.9,6425.1,0
Male,0,54,25.5,1377.0,1
Female,1,12,37.66,451.92,0
Male,0,64,74.87,4791.68,0
Male,1,6,68.11,408.66,0
Female,0,53,24.59,1303.27,0
Male,1,16,20.73,331.68,1
Male,0,5,118.81,594.05,0
Male,0,46,85.88,3950.48,0
Male,1,14,56.54,791.56,0
Female,0,44,67.04,2949.76,0
Female,1,63,46.66,2939.58,1
Female,0,52,54.49,2833.48,1
Female,0,26,84.9,2207.4,0
Male,0,53,108.28,5738.84,0
Male,0,29,38.41,1113.89,0
Female,0,19,104.04,1976.76,0
Female,0,47,32.16,1511.5199999999998,0
Female,0,8,41.5,332.0,0
Male,0,23,23.72,545.56,0
Female,1,35,34.08,1192.8,0
Female,1,53,111.73,5921.6900000000005,0
Female,0,58,65.94,3824.52,0
Male,0,5,27.77,138.85,1
Male,0,16,115.97,1855.52,0
Male,0,17,107.9,1834.3,0
Male,1,32,95.47,3055.04,0
Male,1,52,113.35,5894.2,0
Male,0,20,42.01,840.1999999999999,1
Male,0,66,103.64,6840.24,0
Male,0,1,89.0,89.0,0
Female,1,58,106.98,6204.84,1
Female,0,44,99.69,4386.36,0
Male,0,6,54.65,327.9,0
Male,0,50,97.44,4872.0,0
Female,0,20,46.25,925.0,0
Male,0,14,52.86,740.04,1
Male,1,5,30.79,153.95,0
Male,0,41,113.51,4653.91,0
Female,0,40,49.1,1964.0,1
Female,0,34,72.06,2450.04,0
Female,0,45,59.13,2660.85,0
Female,0,71,115.99,8235.289999999999,1
Female,0,71,53.5,3798.5,0
Male,0,27,97.85,2641.95,0
Female,0,44,105.54,4643.76,0
Male,0,33,63.56,2097.48,0
Male,0,33,57.82,1908.06,0
Female,1,44,94.77,4169.88,1
Female,0,20,111.29,2225.8,0
Male,0,36,95.49,3437.64,1
Male,0,7,42.71,298.97,0
Male,0,32,108.83,3482.56,1
Female,0,67,58.76,3936.92,0
Female,0,39,77.62,3027.1800000000003,0
Female,0,24,103.14,2475.36,1
Female,0,70,38.84,2718.8,0
Female,0,54,98.45,5316.3,1
Male,1,38,79.62,3025.5600000000004,0
Female,1,32,109.33,3498.56,0
Male,0,45,37.2,1674.0000000000002,1
Male,0,61,62.07,3786.27,0
Male,1,70,103.28,7229.6,1
Female,1,53,21.92,1161.76,1
Female,0,51,31.22,1592.22,0
Female,0,56,119.06,6667.360000000001,0
Male,0,27,48.04,1297.08,0
Male,0,38,117.55,4466.9,1
Male,0,62,38.25,2371.5,0
Male,0,18,56.11,1009.98,0
Male,0,64,95.29,6098.56,1
Male,0,30,85.78,2573.4,0
Female,0,49,78.11,3827.39,0
Female,0,41,72.99,2992.59,0
Female,0,13,104.34,1356.42,1
Female,0,34,43.49,1478.66,0
Male,0,25,64.25,1606.25,1
Male,1,66,35.55,2346.3,0
Female,0,18,79.59,1432.62,0
Male,0,5,45.05,225.25,0
Female,0,19,53.38,1014.22,0
Female,0,42,67.13,2819.46,0
Female,1,18,22.68,408.24,0
Male,0,32,29.19,934.08,0
Female,0,21,88.59,1860.39,1
Female,0,10,62.9,629.0,0
Female,0,37,106.48,3939.76,0
Male,1,49,89.47,4384.03,0
Male,1,13,20.81,270.53,0
Female,0,55,81.67,4491.85,0
Male,0,17,29.37,499.29,0
Male,1,9,98.09,882.8100000000001,0
Male,1,44,119.15,5242.6,0
Male,0,46,73.12,3363.5200000000004,1
Male,0,8,88.28,706.24,0
Male,0,37,43.73,1618.01,0
Male,1,19,63.76,1211.44,0
Male,0,63,105.61,6653.43,0
Male,0,46,36.74,1690.0400000000002,1
Male,0,71,46.55,3305.05,0
Female,0,26,64.54,1678.0400000000002,0
Female,0,46,91.22,4196.12,0
Male,0,46,57.59,2649.1400000000003,0
Female,0,14,112.77,1578.78,0
Female,0,63,29.45,1855.35,1
Male,0,3,57.08,171.24,1
Male,0,28,90.9,2545.2000000000003,1
Male,0,29,42.6,1235.4,0
Female,1,18,85.64,1541.52,0
Female,0,35,36.42,1274.7,0
Male,0,47,25.6,1203.2,0
Male,0,5,32.1,160.5,0
Male,0,59,113.0,6667.0,0
Female,0,59,75.18,4435.620000000001,0
Female,0,47,99.63,4682.61,0
Female,0,13,53.27,692.51,1
Female,0,33,79.27,2615.91,0
Male,0,62,69.5,4309.0,0
Male,0,16,114.57,1833.12,0
Male,0,44,94.76,4169.4400000000005,0
Male,0,58,93.05,5396.9,0
Female,0,6,24.64,147.84,0
Female,0,15,74.97,1124.55,0
Male,1,4,66.7,266.8,0
Male,1,56,112.78,6315.68,0
Female,0,64,45.73,2926.72,1
Male,0,68,46.98,3194.64,0
Female,0,34,61.13,2078.42,1
Male,0,56,44.34,2483.04,0
Male,0,32,32.92,1053.44,0
Male,1,9,105.74,951.66,0
Male,0,63,75.83,4777.29,0
Male,1,33,106.14,3502.62,0
Male,0,21,103.11,2165.31,1
Male,0,55,48.2,2651.0,1
Female,0,57,74.77,4261.889999999999,0
Female,0,2,28.32,56.64,0
Female,0,13,111.53,1449.89,1
Female,0,4,60.43,241.72,1
Female,0,50,59.37,2968.5,0
Male,1,48,50.28,2413.44,0
Male,0,30,66.07,1982.1,0
Female,1,29,45.18,1310.22,0
Male,1,8,57.49,459.92,1
